Name,Label
إحتفاظ دتاس روحان,1
آدذ رضين عرندس,0
لشولق عارف سراج,1
آر خزو اكز,0
ُبى ريم بدالوهّاب,1
أد كوان راق,0
ُلفى َدّاد فيق,1
أكتدع غرشآس روائم,0
جمان داغر أفضل,1
أبه عش داي,0
ُسن سيف خالص,1
أبست رويب كاظق,0
شاهرة صارم عبدالماجد,1
أبس اهز ارس,0
َرف سابق شهدي,1
ظتبشر حهادح شبباق,0
ظهور فهمي اويس,1
أبلعت لقيآق ظالخء,0
عطيَّ أنف فائز,1
أبد قائب مبشغي,0
ِسمة حام بشاش,1
أساد أطشد غصام,0
خُليكة صابر رفقي,1
أجز ليم عفان,0
َنال عارم أفخم,1
أجمصآ دحلادا ناهلن,0
آدم ركين عرندس,1
أجددب رانخو نشزيم,0
آسر مخزوم راكز,1
أجكقد لفردان جبرأي,0
أبد زكوان رامق,1
أسب جيل اجح,0
أبدع غراس صائم,1
جحسن أيثب قاور,0
أبره عيشي داني,1
أطشم مجاهد أترف,0
أبسل رتيب كاظم,1
آثحمد ذصكنون زيادع,0
أبسم لاهز قارس,1
أحيب دزان حبيب,0
أبشر صادح سباق,1
أخزد غور دةاس,0
أبلج لقيط ظالم,1
أير عع أفض,0
أبي سائب مبتغي,1
أسيل يخر أصلآن,0
أجاد أرشد غرام,1
أجذدد عةكي كحسسل,0
أجزل لهيم عرفان,1
أقرق غياث ظاد,0
أجمل دحلان ناهض,1
أدمم أصشر رقجم,0
أجوب راني نعيم,1
أغم شهي شهان,0
أجود وردان جبري,1
أفالم باقوأ اءنيب,0
أحسب سجيل ارجح,1
أده فصح جيه,0
أحسن أيوب قادر,1
أدب عام كتب,0
أحشم مجاهد أشرف,1
أرد إسماعي راق,0
أحمد زكنون وادع,1
أجح دار أرح,0
أحيد رزان حبيش,1
أطثجوان أرءطج شهاظح,0
أخزم نور دعاس,1
أرح رضان وران,0
أخير زعزع أفضل,1
ورحم اسامذ راأح,0
أخيل صخر أصلان,1
أرسلا حسم خاعي,0
أُدد عدي كحيل,1
جثرشد شماوآ قاصار,0
أدرد غياث عاد,1
أرخد طديف غنيك,0
أدرم أبشر رقيم,1
أعآقم رجكري عابغث,0
أدغم شهيد شهوان,1
أرظان يتيي عبدذلتوذب,0
أدلم باقي اديب,1
أيج رئا ينالعابدين,0
أدهم أفصح وجيه,1
زهد حود حمد,0
أديب عامر كاتب,1
أمظهر هعفيد زنيدت,0
أربد إسماعيل راتق,1
أساختة بهميع صقفرم,0
أرجح دارع أرجح,1
ألد عبعالحق كأيم,0
أرجوان أريج شهاب,1
أسع جام ضيا,0
أرحب رمضان وردان,1
أهلع غلاة دراس,0
أرحم اسامة رابح,1
أسددم جءكرم هيصظو,0
أرسلان حسام خزاعي,1
أمقمح غيهصن ةقكثم,0
أرشد شماخ قاصد,1
لخسهم فشعيد دأاهب,0
أرغد سديف غنيم,1
أسصغد ارضنفر لهيفش,0
أرقم شكري عابر,1
أذرف عبدحلوهّحب نصفل,0
أركان متمم عبدالتواب,1
أهم ساج عطي,0
أريج رئال زينالعابدين,1
وشصلان صبااءي كظميل,0
أزهد محمود حماد,1
عز كهان صاد,0
أزهر سفيد زنيم,1
أغلخ مبغهج نذيه,0
أسامة لميع صارم,1
أفخ قاب كهل,0
أسد عبدالحق كريم,1
أوخم هباب شيبكن,0
أسعد جامع ضياء,1
خفصح أرسلاذ سرجان,0
أسلع غلاب دراك,1
أفل قاع مزن,0
أسلم أكرم هيصم,1
أنقه صاني زكيظ,0
أسمح غيهب اكثم,1
أثم روف زعو,0
أسهم سعيد شاهب,1
كرم يظان حني,0
أسيد غضنفر لهيف,1
